te	role	n_pol2	n_hic	pol2_te_pos	hic_te_pos	pol2_rate	hic_rate	fisher_or	woolf_ci95_lo	woolf_ci95_hi	note
SVA_F	EXPLORATORY_SECONDARY	572808	17183	180	5	0.000314	0.000291	0.984525	0.421424	2.300034	Exploratory only — not primary claim.
AluJo	EXPLORATORY_SECONDARY	572808	17183	24956	757	0.043568	0.044055	0.987830	0.917431	1.063632	Exploratory only — not primary claim. AluJo is negative/contrast control (expectation ~OR≈1 under young-TE narrative).
